variable,fuente,rol,justificacion
consumo_kwh_mes,SUI 1743,Core,Demanda sustituible por solar
dias_facturados,SUI 1743,Support,Normaliza periodos de facturación
consumo_kwh_dia,Derivada SUI,Core,Consumo/días; mejora comparabilidad
consumo_promedio_12m,Derivada SUI,Core,Nivel típico de demanda
variabilidad_consumo_12m,Derivada SUI,Core,Estabilidad/estacionalidad de demanda
tendencia_consumo_12m,Derivada SUI,Secondary,Crecimiento/caída reciente
tipo_usuario,SUI 1743,Filter/Feature,Aísla residencial
tipo_tarifa,SUI 1743,Feature,Esquema tarifario
estrato_sector,Superservicios T3-T4,Core,Afecta tarifa/subsidio
porcentaje_subsidio,Superservicios T3-T4,Core,Modifica costo efectivo del kWh
tarifa_nivel1_cop_kwh,Superservicios T3-T4,Core,Valor del kWh residencial relevante
cu_total_cop_kwh,Tarifas/costos EPM,Secondary,Útil en regiones cubiertas; no nacional universal
costo_fijo_cop,Tarifas/costos,Secondary,Parte fija de factura; no toda desaparece con solar
variacion_tarifa_12m,Derivada tarifas,Secondary,Tendencia de precios sin mirar futuro
operador_red,SUI/mercado,Secondary,Une condiciones regionales y calidad de red
radiacion_kwh_m2_dia,UPME,Core,Recurso solar disponible
radiacion_min_kwh_m2_dia,UPME,Secondary,Escenario conservador
radiacion_max_kwh_m2_dia,UPME,Secondary,Escenario favorable
mes,UPME/SUI,Core temporal,Estacionalidad
insolacion_horas_dia,IDEAM,Secondary,Complemento del recurso solar
temperatura_media_c,IDEAM,Secondary,Afecta rendimiento de módulos
temperatura_maxima_c,IDEAM,Secondary,Condición térmica extrema
temperatura_minima_c,IDEAM,Optional,Contexto térmico secundario
precipitacion_mm,IDEAM,Optional,Relación indirecta con limpieza/operación
humedad_relativa_pct,IDEAM,Optional,Condición ambiental secundaria
area_construida_m2,IGAC/LADM-COL,Core candidate,Proxy físico de espacio disponible; no equivale a techo
area_terreno_m2,IGAC/LADM-COL,Secondary,Contexto espacial
total_plantas,IGAC/LADM-COL,Secondary,Geometría/altura de construcción
anio_construccion,IGAC/LADM-COL,Secondary,Proxy de antigüedad/posibles adecuaciones
uso_construccion,IGAC/LADM-COL,Filter,Aislar residencial
zona_urbana_rural,DNP Sisbén Vivienda,Secondary,Afecta logística/red/configuración
tipo_vivienda,DNP Sisbén Vivienda,Secondary,Casa/apartamento afecta posibilidad de instalación
material_paredes,DNP Sisbén Vivienda,Optional,Proxy constructivo indirecto
numero_cuartos_vivienda,DNP Sisbén Vivienda,Secondary,Proxy de tamaño/ocupación
numero_hogares_vivienda,DNP Sisbén Vivienda,Secondary,Puede explicar demanda elevada
saidi_horas,XM/SIMEM,Secondary,Duración de interrupciones; útil con batería
saifi_eventos,XM/SIMEM,Secondary,Frecuencia de interrupciones; útil con batería
alimentador_id,SUI Formato 438,Join,Clave de unión; no predictor
transformador_id,SUI Formato 438,Join,Clave de unión; no predictor
potencia_sistema_kwp,Escenario técnico,Core,Capacidad de generación
costo_instalacion_cop,Escenario/cotización,Core,Inversión inicial
eficiencia_sistema_pct,Escenario técnico,Core,Pérdidas del sistema
degradacion_anual_pct,Escenario técnico,Secondary,Reduce generación futura
mantenimiento_anual_cop,Escenario/cotización,Core,Reduce ahorro neto
autoconsumo_ratio,Escenario/medición,Core,Determina valor económico del autoconsumo
valor_excedente_cop_kwh,CREG + escenario,Core,Valor económico de exportación
bateria_si_no,Escenario técnico,Secondary,Cambia autoconsumo/costo
capacidad_bateria_kwh,Escenario técnico,Secondary,Capacidad de almacenamiento
generacion_anual_kwh,Modelo energético,Target-support,Resultado intermedio; NO usar como feature
ahorro_anual_neto_cop,Modelo energético,Target-support,Resultado intermedio; NO usar como feature
payback_years,Modelo energético,Target,Target de regresión
payback_le_5,Modelo energético,Target,Target principal de clasificación
