id,entidad,dataset,granularidad,cobertura,variables,rol,url,criterio
EVA_2019_2024,UPRA,Evaluaciones Agropecuarias Municipales – Base Agrícola 2019-2024,municipio-cultivo-año/periodo,141K filas; 18 columnas; nacional,"area sembrada, area cosechada, produccion, rendimiento, cultivo, municipio, periodo",TARGET + historial,https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/Evaluaciones-Agropecuarias-Municipales-EVA-2019-20/uejq-wxrr,"Fuente administrativa oficial; datos 2019-2024. Para transitorios, desde 2022 rendimiento/producción corresponden a cosechas efectivas; años anteriores tienen otra referencia temporal."
EVA_2007_2018,UPRA/AgroNet,EVA histórica 2007-2018,municipio-cultivo-año/periodo,Nacional histórica,"area, produccion, rendimiento, cultivo, municipio, año",Historial adicional,https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/Evaluaciones-Agropecuarias-Municipales-EVA/2pnw-mmge,"Útil para extender historia, especialmente en cultivos permanentes donde la periodicidad anual es coherente."
ENA_DANE,DANE,Encuesta Nacional Agropecuaria (ENA),departamento/cultivo-año,nacional/27 departamentos en 2023,"area, produccion, rendimiento, uso suelo, caracterizacion UPA/productor, comercializacion, riego",VALIDACION EXTERNA + features contextuales,https://www.dane.gov.co/index.php/comunicados-y-boletines/agropecuario/encuesta-nacional-agropecuaria,Es una operación estadística distinta a EVA; permite comparar agregados departamentales y validar el target de manera independiente.
SUELOS_AGROSAVIA,AGROSAVIA,Resultados de Análisis de Laboratorio Suelos en Colombia,muestra-municipio-cultivo-fecha,92.7K filas; 32 columnas; nacional,"fecha análisis, departamento, municipio, cultivo, estado y parámetros de fertilidad/salinidad",FEATURES DE SUELO,https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/Resultados-de-An-lisis-de-Laboratorio-Suelos-en-Co/ch4u-f3i5,Fuente oficial de laboratorio. Debe agregarse al municipio/cultivo/año; no debe suponerse que cada muestra representa todas las parcelas.
UPRA_APTITUD_CACAO,UPRA,Zonificación de aptitud para cultivo comercial de cacao,zona/geometria,nacional; escala según producto,aptitud alta/media/baja/no apta/exclusion legal,FEATURE GEOESPACIAL,https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/Zonificaci-n-de-aptitud-para-el-cultivo-comercial-/jdjx-qer4/data,Es una variable estructural; no usarla como target. Puede servir como feature previo a la cosecha.
SIPSA_P,DANE,SIPSA Precios Mayoristas,producto-mercado-fecha,2013-2024 en dataset histórico; series posteriores,"precio mayorista, producto, mercado, fecha",FEATURE ECONÓMICA,https://www.datos.gov.co/dataset/Sistema-de-Informaci-n-de-Precios-y-Abastecimiento/gkqq-k3k5/data,Precio mayorista; no equivale automáticamente al precio recibido por productor.
SIPSA_I,DANE,SIPSA Insumos y Factores,insumo-municipio/departamento-fecha,2025 y series históricas,precios promedio de insumos/factores,FEATURE COSTOS,https://www.datos.gov.co/dataset/Sistema-de-Informaci-n-de-Precios-y-Abastecimiento/9ka4-3qbp,"Útil para aproximar presión de costos, fertilización y manejo; debe agregarse por cultivo cuando la correspondencia sea válida."
CACAO_PRICE,AgroNet/MADR,Precio de referencia semanal de compra de cacao,producto-semana,histórico disponible en AgroNet,precio de referencia compra cacao,FEATURE ECONÓMICA,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0,"Mejor que SIPSA para cacao cuando esté disponible porque refleja precio de compra de cacao, pero debe alinearse con el periodo de cosecha."
IDEAM_CLIMA,IDEAM,Temperatura / precipitación / humedad / otras variables climáticas,estacion-fecha/hora o día,nacional,"temperatura, precipitación, humedad, etc.",FEATURE CLIMÁTICA,https://www.datos.gov.co/Ambiente-y-Desarrollo-Sostenible/Precipitaci-n/s54a-sgyg,Agregar a municipio/mes o periodo de cultivo. Precipitación es de alta escala; procesar por lotes.
SE_MAPA,AGROSAVIA,Sistema Experto MAPA,territorio-cultivo,herramienta nacional,"relaciones agua-rendimiento, clima-suelo, módulos por cultivo",REFERENCIA / VALIDACION AGRONÓMICA,https://semapa.agrosavia.co/,No es nuestra fuente principal de entrenamiento; sirve para contrastar que las variables seleccionadas tienen fundamento agronómico.
CAMARA_COMERCIO,Cámaras/RUES,Registro mercantil / RUES,empresa-municipio-actividad,cobertura empresarial según cámara,"actividad económica, existencia empresarial, etc., cuando la cámara lo publica",NO CORE,https://www.rues.org.co/,No encontramos en la búsqueda una fuente pública nacional granular que mida rendimiento agrícola. Para rendimiento aporta poco; puede entrar solo en una versión de rentabilidad/mercado.
DIAN_RUT,DIAN,Registro Único Tributario,sujeto/actividad,"nacional, pero acceso restringido por naturaleza tributaria",actividad económica/ubicación del inscrito,NO CORE,https://www.dian.gov.co/impuestos/RUT/Paginas/Conozca-el-RUT.aspx,"La DIAN confirma que el RUT identifica/clasifica sujetos, pero no encontramos un dataset público granular apto para explicar rendimiento agrícola. No incluir."
